name,label,regimes,description,settings
xs_momentum,Cross-sectional momentum,TRENDING_UP|SIDEWAYS|VOLATILITY_SQUEEZE,"Ranks the whole universe by its 12-month return skipping the most recent month and buys the leaders each month, standing aside when the market itself is below trend.","{""lookback_bars"": 252, ""skip_bars"": 21, ""top_pct"": 3.0, ""min_top_n"": 2, ""max_top_n"": 15, ""min_universe"": 5, ""rebalance"": ""monthly"", ""require_market_trend"": true, ""vol_lookback_bars"": 60, ""max_vol_pct"": 60.0, ""target_vol_pct"": 15.0, ""stop_atr"": 3.0, ""reward_multiple"": 3.0}"
ts_momentum,Time-series momentum,TRENDING_UP|TRENDING_DOWN|SIDEWAYS|VOLATILITY_SQUEEZE,"Goes long an instrument whose own 12-month return is positive and short one whose own is negative, rebalanced monthly — the classic trend-following rule, strongest on index instruments.","{""lookback_bars"": 252, ""skip_bars"": 0, ""min_abs_return_pct"": 0.0, ""rebalance"": ""monthly"", ""require_ma_agreement"": true, ""confirm_ma_bars"": 200, ""vol_lookback_bars"": 60, ""max_vol_pct"": 80.0, ""target_vol_pct"": 15.0, ""stop_atr"": 3.0, ""reward_multiple"": 3.0}"
low_beta,Low beta,TRENDING_UP|SIDEWAYS|VOLATILITY_SQUEEZE,"Tilts toward names that move less than their index and are calm relative to the rest of the universe, while still holding their own long-term uptrend. Long only.","{""beta_lookback_bars"": 252, ""max_beta"": 0.85, ""vol_lookback_bars"": 60, ""max_vol_rank_pct"": 40.0, ""max_vol_pct"": 30.0, ""require_above_trend"": true, ""trend_ma_bars"": 200, ""rebalance"": ""monthly"", ""stop_atr"": 2.5, ""reward_multiple"": 2.5}"
low_volatility,Low volatility,TRENDING_UP|SIDEWAYS|VOLATILITY_SQUEEZE,"Holds the calmest names in the universe, which have historically delivered better risk-adjusted returns than the wildest — the opposite of what the textbook predicts.","{""vol_lookback_bars"": 120, ""top_pct"": 10.0, ""min_universe"": 5, ""require_above_trend"": true, ""trend_ma_bars"": 200, ""rebalance"": ""monthly"", ""stop_atr"": 2.5, ""reward_multiple"": 2.5}"
sector_momentum,Sector momentum,TRENDING_UP|SIDEWAYS|VOLATILITY_SQUEEZE,"Rotates into the strongest sectors rather than the strongest single names, holding the industry bet without the single-company risk.","{""lookback_bars"": 252, ""skip_bars"": 21, ""top_n"": 3, ""min_universe"": 5, ""rebalance"": ""monthly"", ""require_market_trend"": true, ""stop_atr"": 3.0, ""reward_multiple"": 3.0}"
dual_momentum,Dual momentum,TRENDING_UP|SIDEWAYS|VOLATILITY_SQUEEZE,"Requires both kinds of momentum at once: beating its peers AND up in absolute terms, so it holds nothing in a market where everything is falling.","{""lookback_bars"": 252, ""skip_bars"": 21, ""top_pct"": 10.0, ""min_absolute_return_pct"": 0.0, ""min_universe"": 5, ""rebalance"": ""monthly"", ""vol_lookback_bars"": 60, ""max_vol_pct"": 60.0, ""stop_atr"": 3.0, ""reward_multiple"": 3.0}"
high_52w,52-week high,TRENDING_UP|SIDEWAYS|VOLATILITY_SQUEEZE,"Buys names trading close to their own 52-week high, which predicts better than the return that got them there.","{""lookback_bars"": 252, ""min_nearness_pct"": 95.0, ""min_universe"": 5, ""top_n"": 15, ""rebalance"": ""monthly"", ""vol_lookback_bars"": 60, ""max_vol_pct"": 60.0, ""stop_atr"": 3.0, ""reward_multiple"": 3.0}"
short_reversal,Short-term reversal,SIDEWAYS|VOLATILITY_SQUEEZE|TRENDING_UP,"Buys the past month's worst performers, betting the move overshot. High turnover — costs decide whether it survives.","{""lookback_bars"": 21, ""bottom_pct"": 10.0, ""min_universe"": 5, ""rebalance"": ""monthly"", ""vol_lookback_bars"": 60, ""max_vol_pct"": 90.0, ""require_above_trend"": false, ""stop_atr"": 2.0, ""reward_multiple"": 2.0}"
long_reversal,Long-term reversal,SIDEWAYS|VOLATILITY_SQUEEZE|TRENDING_UP,"Buys instruments that have underperformed for years, betting the market overreacted. A different mechanism to the one-month bounce, on a horizon where momentum has decayed.","{""lookback_bars"": 756, ""skip_bars"": 252, ""bottom_pct"": 10.0, ""min_universe"": 5, ""rebalance"": ""monthly"", ""vol_lookback_bars"": 60, ""max_vol_pct"": 80.0, ""stop_atr"": 2.5, ""reward_multiple"": 3.0}"
turn_of_month,Turn of month,TRENDING_UP|SIDEWAYS|VOLATILITY_SQUEEZE,"Holds only across the turn of the month, when returns have historically clustered. A calendar effect — cheap to compute and easy to fool yourself with.","{""days_before"": 3, ""hold_bars"": 6, ""min_universe"": 5, ""top_pct"": 25.0, ""lookback_bars"": 252, ""rebalance"": ""any"", ""stop_atr"": 2.0, ""reward_multiple"": 1.5}"
band_reversion,Band reversion,SIDEWAYS|VOLATILITY_SQUEEZE,Buys oversold extremes stretched below the lower Bollinger band once the fall has stalled. Weakest evidence in the library; kept to test it on the universe it suits.,"{""rsi_oversold"": 30.0, ""min_stretch_atr"": 1.0, ""stall_lookback"": 3, ""stop_buffer_atr"": 0.5, ""max_stop_atr"": 2.5, ""min_reward_risk"": 1.2, ""target_fraction"": 1.0, ""rebalance"": ""any""}"
halloween,Halloween effect,TRENDING_UP|SIDEWAYS|VOLATILITY_SQUEEZE,Holds November to April and stands aside May to October. The weakest thing in the library by evidence; included so it can be measured rather than argued about.,"{""in_months"": [11, 12, 1, 2, 3, 4], ""min_universe"": 5, ""top_pct"": 25.0, ""lookback_bars"": 252, ""rebalance"": ""monthly"", ""stop_atr"": 3.0, ""reward_multiple"": 3.0}"
